Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,956.000000,957.000000,936.250000,940.200012,940.200012,15920653
2022-12-02,928.250000,934.500000,926.099976,930.599976,930.599976,14228874
2022-12-05,937.000000,937.000000,928.400024,933.599976,933.599976,10984608
2022-12-06,925.000000,929.750000,920.200012,922.650024,922.650024,18220912
2022-12-07,922.000000,933.200012,920.650024,922.150024,922.150024,15675663
2022-12-08,925.000000,933.549988,923.799988,931.900024,931.900024,10136870
2022-12-09,932.000000,934.799988,925.049988,929.900024,929.900024,9575331
2022-12-12,925.049988,933.900024,925.049988,930.299988,930.299988,8493863
2022-12-13,929.500000,935.900024,927.799988,932.950012,932.950012,10415140
2022-12-14,936.000000,936.049988,920.000000,921.750000,921.750000,12319827
2022-12-15,916.000000,919.900024,905.000000,908.799988,908.799988,8929748
2022-12-16,905.500000,913.700012,899.650024,902.000000,902.000000,9157260
2022-12-19,908.000000,910.599976,901.150024,906.450012,906.450012,7015083
2022-12-20,906.000000,912.450012,895.700012,909.700012,909.700012,6384331
2022-12-21,910.250000,915.849976,887.000000,892.250000,892.250000,11341147
2022-12-22,900.500000,903.849976,886.349976,890.650024,890.650024,9788367
2022-12-23,883.049988,889.650024,875.299988,878.900024,878.900024,11059215
2022-12-26,881.099976,897.000000,875.250000,893.200012,893.200012,6943159
2022-12-27,897.700012,902.750000,888.200012,900.650024,900.650024,4994381
2022-12-28,896.000000,903.950012,895.799988,898.950012,898.950012,8980300
2022-12-29,897.900024,923.349976,889.349976,908.049988,908.049988,11994220
2022-12-30,908.500000,908.500000,888.549988,890.849976,890.849976,9688527
2023-01-02,894.000000,907.000000,894.000000,902.450012,902.450012,4315403
2023-01-03,898.500000,905.950012,896.750000,901.349976,901.349976,5846855
2023-01-04,899.000000,907.900024,894.799988,899.099976,899.099976,12454582
2023-01-05,900.900024,903.000000,872.000000,879.150024,879.150024,16547196
2023-01-06,878.950012,878.950012,860.500000,870.099976,870.099976,14804613
2023-01-09,874.250000,878.750000,862.299988,873.349976,873.349976,16811853
2023-01-10,875.400024,878.400024,856.599976,861.349976,861.349976,13470142
2023-01-11,862.900024,870.849976,854.849976,866.299988,866.299988,15558460
2023-01-12,865.500000,869.349976,854.950012,860.650024,860.650024,16659001
2023-01-13,864.700012,874.900024,858.299988,873.450012,873.450012,11223103
2023-01-16,877.250000,877.450012,861.049988,865.250000,865.250000,8319812
2023-01-17,866.950012,867.950012,858.099976,865.150024,865.150024,12624859
2023-01-18,864.450012,872.000000,858.650024,869.500000,869.500000,11313898
2023-01-19,868.000000,870.549988,862.000000,866.150024,866.150024,6694679
2023-01-20,873.500000,876.500000,865.549988,870.349976,870.349976,8127162
2023-01-23,882.000000,883.299988,864.599976,871.700012,871.700012,16882379
2023-01-24,879.000000,881.700012,868.000000,870.750000,870.750000,11504090
2023-01-25,873.299988,876.799988,848.000000,855.299988,855.299988,14918485
2023-01-27,839.150024,843.000000,813.099976,817.200012,817.200012,39718683
2023-01-30,800.000000,826.250000,796.000000,823.500000,823.500000,36301441
2023-01-31,826.000000,838.299988,814.099976,831.900024,831.900024,27291226
2023-02-01,843.450012,875.200012,823.150024,847.950012,847.950012,39237711
2023-02-02,828.400024,860.599976,826.099976,857.900024,857.900024,16798190
2023-02-03,864.650024,872.650024,852.099976,863.799988,863.799988,14914366
2023-02-06,861.500000,867.799988,849.650024,853.700012,853.700012,8463833
2023-02-07,855.000000,856.000000,847.200012,852.750000,852.750000,9337066
2023-02-08,852.500000,860.700012,851.900024,859.099976,859.099976,8082983
2023-02-09,858.500000,864.900024,851.599976,860.799988,860.799988,6299265
2023-02-10,855.549988,861.900024,852.000000,853.849976,853.849976,8656405
2023-02-13,853.400024,859.299988,849.349976,850.650024,850.650024,9394365
2023-02-14,853.900024,867.299988,852.099976,865.299988,865.299988,13402934
2023-02-15,866.400024,873.250000,860.599976,870.799988,870.799988,12070288
2023-02-16,875.950012,877.799988,864.849976,869.450012,869.450012,10715685
2023-02-17,867.549988,867.549988,855.150024,862.650024,862.650024,9990618
2023-02-20,862.650024,866.549988,850.250000,852.099976,852.099976,9013430
2023-02-21,854.400024,859.450012,846.849976,854.200012,854.200012,11704445
2023-02-22,851.250000,854.099976,834.750000,839.250000,839.250000,13880984
2023-02-23,836.549988,844.450012,833.549988,839.750000,839.750000,11743574
2023-02-24,843.950012,845.599976,835.549988,839.700012,839.700012,8246139
2023-02-27,833.549988,858.299988,833.549988,856.400024,856.400024,14422574
2023-02-28,854.900024,858.000000,850.000000,854.849976,854.849976,19600146
2023-03-01,864.000000,864.000000,851.849976,856.299988,856.299988,11015843
2023-03-02,853.000000,861.849976,851.099976,854.000000,854.000000,12327141
2023-03-03,856.750000,873.000000,849.849976,868.549988,868.549988,12823098
2023-03-06,871.750000,876.849976,865.349976,867.750000,867.750000,13904231
2023-03-08,866.650024,873.650024,861.500000,872.099976,872.099976,16144568
2023-03-09,867.200012,869.799988,854.150024,855.950012,855.950012,10624440
2023-03-10,844.700012,845.349976,836.250000,842.650024,842.650024,17273189
2023-03-13,841.450012,855.299988,823.950012,828.400024,828.400024,16413159
2023-03-14,827.000000,834.450012,818.250000,830.349976,830.349976,15456802
2023-03-15,836.450012,843.950012,822.200012,825.900024,825.900024,12914488
2023-03-16,829.700012,831.299988,810.299988,823.900024,823.900024,14987309
